fecha,Carbon_NR,CicloCombinado_NR,Cogeneracion_NR,Eolica_R,FuelGas_NR,Hidroeolica_R,Hidraulica_R,MotorDiesel_NR,Nuclear_NR,OtrasRenovables_R,SolarFotovoltaica_R,SolarTermica_R,TurbinaGas_NR,TurbinaVapor_NR,TurbinaBombeo_NR,ResiduosNoRenov_NR,ResiduosRenov_R,GeneracionTotal,Año,Mes,Dia,DiaSemana,SumaGeneracion_NoRenovables,SumaGeneracion_Renovables,SumaGeneracionTotal,Porcentaje_NoRenovable,Porcentaje_Renovable,valordemanda,carbon,ciclocombinado,cogeneracion,fuelgas,motordiesel,turbinagas,turbinavapor,residuosnorenov,emisionestotal,emisionespormwh,precipitacionesmedia,horassolmedia,temperaturamedia,temperaturamaxmedia,temperaturaminmedia,rachamedia,vientovelmedia,humedadrelmedia,humedadrelmaxmedia,humedadrelminmedia,presionmaxmedia,presionminmedia
2016-07-20,172357.409,106471.953,73893.038,118510.186,0.0,41.604,83544.934,11003.555,167008.183,9210.626,20336.029,9254.875,2486.072,7692.869,0.0,8253.8495,2331.0795,792396.2620000001,2016,7,20,3,549166.9285,243229.33349999998,792396.262,69.3,30.7,822375.658,163739.538,42815.383,0,0.0,8425.248,2196.723,6846.653,1980.925,254083.824,0.3206524767780895,0.5762616822429907,6.293069306930693,24.86918918918919,30.842625899280577,18.87773788150808,11.84537037037037,3.0375854214123006,54.04480286738351,78.1462962962963,36.90925925925926,967.6602649006624,963.664238410596
2016-07-21,176051.696,111340.133,75991.359,71977.835,0.0,35.108,83839.282,11143.609,166801.254,8865.217,29208.634,25191.135,2702.151,7976.322,0.0,8101.9075,2276.2305,781501.8729999998,2016,7,21,4,560108.4315,221393.44150000002,781501.8729999999,71.67,28.33,823543.175,167249.111,44527.806,0,0.0,8596.553,2032.31,7098.927,1944.458,260325.882,0.3331097352341215,0.19982078853046595,9.365346534653465,24.284285714285716,30.705693950177935,17.85875,9.344341801385681,2.669406392694064,53.457142857142856,80.13812154696133,36.430939226519335,968.1624161073827,964.5046979865773
2016-07-22,135648.248,75986.192,74491.789,146533.467,0.0,76.356,65880.923,11158.789,166997.686,9127.897,30206.765,30381.961,2486.097,7876.462,0.0,8132.8085,2196.0665,767181.507,2016,7,22,5,482778.07149999996,284403.4355,767181.507,62.93,37.07,800629.932,128865.836,31358.363,0,0.0,8617.74,1644.581,7010.051,1951.874,207755.32500000004,0.270803353710141,1.4676207513416815,9.642999999999999,22.607773851590107,28.302473498233216,16.91201413427562,10.894090909090908,3.480630630630631,57.18904593639576,82.43248175182482,41.83029197080292,969.316883116883,964.7954545454545
2016-07-23,79114.609,51806.851,69977.992,161638.022,0.0,99.025,49951.109,11082.718,167442.374,10410.081,30869.786,31387.285,1769.218,6441.992,0.0,8240.1155,2243.4235,682474.601,2016,7,23,6,395875.86950000003,286598.73149999994,682474.601,58.01,41.99,704385.142,75158.878,22130.903,0,0.0,8508.04,1304.778,5733.373,1977.628,141405.237,0.2071948711245885,0.23992869875222816,10.49795918367347,22.18880994671403,28.02646536412078,16.349733570159856,9.99109589041096,3.2934389140271496,56.761565836298935,83.14416058394161,41.72080291970803,970.2538961038962,967.2571428571429
2016-07-24,73211.067,52606.713,68423.199,140208.341,0.001,90.752,51410.002,10932.085,167406.026,10991.217,31238.538,31438.248,1222.421,5853.289,0.0,8372.3035,2388.6215,655792.8239999999,2016,7,24,7,388027.10449999996,267765.7195,655792.824,59.17,40.83,647520.055,69550.51400000001,22427.478,0,0.001,8392.304,789.469,5209.427,2009.354,134379.362,0.2049113029025764,0.005673758865248227,11.726530612244899,23.06826241134752,29.94964539007092,16.186524822695038,8.883561643835616,2.846380090497737,52.88809946714032,81.92883211678833,36.99452554744526,969.7581699346405,967.0836601307188
2016-07-25,125747.593,88238.857,73372.477,122690.654,0.0,60.272,65616.183,11376.25,167075.459,10896.248,31346.778,31496.193,2442.079,7666.507,0.0,8242.8525,2392.4145,748660.817,2016,7,25,1,484162.07450000005,264498.7425,748660.817,64.67,35.33,752032.203,119460.214,35944.537,0,0.0,8754.877,1940.249,6823.191,1978.285,202782.89400000003,0.2708608349674055,0.06565295169946334,11.214141414141414,24.31699115044248,31.615044247787612,17.018230088495574,8.543863636363637,2.5421768707482992,49.12811387900356,76.37887067395265,34.295081967213115,969.8259740259741,967.3116883116883
2016-07-26,143087.764,96720.981,73931.496,142098.668,0.0,51.391,71606.979,11849.88,166595.345,10666.093,30322.253,30311.599,2518.998,8127.791,0.0,8398.573,2422.766,798710.577,2016,7,26,2,511230.82800000004,287479.749,798710.577,64.01,35.99,818352.397,135933.376,39254.209,0,0.0,9149.384,1871.341,7233.734,2015.657,223551.669,0.2798907081457116,0.05489130434782609,10.30891089108911,25.208525754884548,32.190763765541746,18.224333925399645,9.259353348729793,2.7215102974828373,50.0,75.65625,34.981617647058826,970.5392156862745,967.5091503267973
2016-07-27,144211.396,98158.826,74923.366,145507.534,0.0,46.157,72072.435,11606.385,166517.247,10386.736,29933.393,28565.958,2386.674,7749.006,0.0,7904.6345,2424.0105,802393.7580000001,2016,7,27,3,513457.53449999995,288936.2235,802393.7579999999,63.99,36.01,822449.75,137000.82700000002,39765.965,0,0.0,8932.291,1669.195,6896.615,1897.112,224632.885,0.2799534302957526,0.1755834829443447,11.192,24.628392857142856,31.05632798573975,18.21464285714286,9.348275862068965,3.0279545454545453,51.75178571428572,77.27389705882354,36.60294117647059,970.6457516339868,968.1986928104575
2016-07-28,150041.241,110035.172,75567.569,98723.0,0.0,74.503,80912.81,11456.057,166669.325,10625.023,30368.745,28465.712,2326.409,7449.784,0.0,7853.311,2234.189,782802.8500000002,2016,7,28,4,531398.868,251403.982,782802.85,67.88,32.12,820121.774,142539.179,43897.295,0,0.0,8798.906,1673.704,6630.308,1884.796,234139.864,0.2991045114360531,0.0008992805755395684,11.267999999999999,24.399821109123433,31.42482142857143,17.383899821109125,9.043478260869565,2.829612756264237,51.67383512544803,78.37016574585635,36.149171270718234,970.0296052631579,966.7322368421052
2016-07-29,161312.203,113189.776,74843.647,90292.554,0.0,92.107,82483.816,11218.243,166233.169,10968.101,28604.773,25508.202,2360.186,7503.133,0.0,8170.578,2333.319,785113.807,2016,7,29,5,544830.9349999999,240282.872,785113.8069999999,69.4,30.6,815377.908,153246.593,45053.366,0,0.0,8637.831,1553.723,6677.788,1960.938,245570.825,0.3127837299643872,0.17070524412296564,9.875757575757577,25.045907473309608,31.908525754884547,18.183985765124554,9.627586206896552,2.9123006833712983,52.83899821109124,78.73260073260073,37.459706959706956,968.2131578947368,964.8651315789474
